record_id,date,year,month,period_label,life_phase,journey_theme,role_context,activity_focus,technical_focus,time_invested_hours,practice_sessions,estimated_outputs_count,difficulty_score_1_5,confidence_score_1_5,stress_score_1_5,energy_score_1_5,support_score_1_5,motivation_score_1_5,skill_growth_score_1_5,outcome_score_1_5,ethics_awareness_score_1_5,impact_scope_score_1_5,key_challenge,coping_strategy,decision_area,moment_type,short_reflection,data_source_type,privacy_level
HGJ079,01/01/2025,2025,1,2025-01,Youth empowerment and career support,Project,Career-growth platform contributor,Supported youth career growth and mentoring alignment,"Mentoring, career planning, communication",18,5,3,3,4,3,4,4,5,4,4,4,4,Matching needs with opportunities,Used structured follow-up and clear communication,Mentoring,steady,This supported my interest in using skills for youth opportunity and career development.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ080,01/02/2025,2025,2,2025-02,Data Management Work,Data management Work,Humanitarian data officer,Data preparation pipeline,"R, preprocessing, QA",34,13,4,5,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Efficiency,breakthrough,Worked on automated preparation of analysis-ready datasets.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ081,01/03/2025,2025,3,2025-03,Data Management Work,Data management Work,Humanitarian data officer,Digital survey logic and checks,"KoboToolbox, XLSForm, ODK",38,15,3,5,4,4,4,4,5,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Survey design,challenge,Improved in-tool checks and digital form logic.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ082,01/04/2025,2025,4,2025-04,Data Management Work,Data management Work,Humanitarian data officer,Questionnaire tool optimization,"KoboToolbox, XLSForm, R",38,15,3,5,4,5,3,4,5,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Work quality,challenge,Supported assessment tool development with clearer structure.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ083,01/05/2025,2025,5,2025-05,Data Management Work,Data management Work,Humanitarian data officer,Daily cleaning and issue tracking,"R, Excel, Power BI",34,13,4,4,4,5,3,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Quality monitoring,breakthrough,Built stronger quality monitoring habits for active data collection.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ084,01/06/2025,2025,6,2025-06,Data Management Work,Data management Work,Humanitarian data officer,Work-school-deadline balance,"Planning, task board",28,13,3,4,3,5,2,4,4,3,3,3,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Wellbeing,setback,"Managed stress from overlapping school, work, and project tasks.",resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ085,01/07/2025,2025,7,2025-07,Data Management Work,Data management Work,Humanitarian data officer,Streamlit dashboard exploration,"Python, Streamlit, Git",34,13,3,4,3,4,3,4,4,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Technical skills,steady,Explored Streamlit as a practical dashboard tool.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ086,01/08/2025,2025,8,2025-08,"University, Data Management Work",MEAL and education technology,MEAL and learning-program support,MEAL dashboard and indicator support,"R, Google Sheets, MEL indicators",34,13,4,4,4,4,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",MEAL,breakthrough,Supported online learning program monitoring and MEL indicators.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ087,01/09/2025,2025,9,2025-09,"University, Data Management Work",MEAL and education technology,MEAL and learning-program support,Pre/post-test and feedback analysis,"R, Google Sheets, analysis",34,13,3,4,4,3,4,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Program improvement,steady,Analyzed course results and user feedback for learning improvement.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ088,01/10/2025,2025,10,2025-10,"University, Data Management Work",Work-study growth,Humanitarian data officer,Interactive visualization practice,"D3.js, JavaScript, GitHub Pages",38,15,3,5,3,4,3,4,4,4,4,4,5,High workload and technical complexity,"Used structured scripts, documentation, and prioritization",Technical skills,challenge,Practiced interactive chart thinking for web-based dashboards.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ089,01/11/2025,2025,11,2025-11,"University, Data Management Work",Work-study growth,Humanitarian data officer,Career direction review,"Portfolio, reflection, communication",34,13,3,3,4,3,3,4,5,4,4,4,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Career preparation,reflection,Reflected on career direction toward humanitarian research roles.,resume_and_memory_based_estimate,anonymized_personal_growth_data
HGJ090,01/12/2025,2025,12,2025-12,"University, Data Management Work",Work-study growth,Humanitarian data officer,Responsible dashboarding,"Data ethics, visualization notes",34,13,3,3,4,3,4,4,5,4,4,5,5,Maintaining quality and clarity,"Used structured scripts, documentation, and prioritization",Ethical practice,reflection,Focused on responsible dashboard design and avoiding overclaiming.,resume_and_memory_based_estimate,anonymized_personal_growth_data
